#  file:  nwr_F12_MM.dat
#
#  Chlorofluorocarbon-12 (F12) data from hourly in situ samples analyzed on
#  a gas chromatograph located at Niwot Ridge (NWR), Colorado
#  (C-1 site:  40.04 N, 105.54 W, elevation:  3018 m).
#
#  Atmospheric Measurements from the NOAA/ESRL Radiatively Important Trace
#  Species (RITS) program.  The RITS program started in 1983 and continued
#  until 2000.  A detailed history of the RITS program can be found at
#  http://www.esrl.noaa.gov/gmd/hats/insitu/insitu.html
#
#  PIs: Dr. James W. Elkins, Dr. Bradley D. Hall, J. David Nance
#
#  National Oceanic and Atmospheric Administration (NOAA)
#  Earth System Research Laboratory (ESRL)
#  325 Broadway, R/GMD1
#  Boulder, CO 80305-3328
#
#  See (http://www.esrl.noaa.gov/gmd/obop/) for station statistics and personnel.
#
#  Data use policy:
#  If you use this data in a publication or report, we would appreciate that
#  you contact the principal investigators (PIs) first and discuss your
#  interests.  We are trying to encourage scientific discussion.  The PIs can
#  discuss the quality of the data and any potential problems with its
#  analysis.  Please contact the PIs for more information.
#
#  The data should be cited in presentations or publications as the flowing:
#  Chlorofluorocarbon-12 data from the NOAA/ESRL halocarbons in situ program.
#
#  Calibration scale used: NOAA 2008
#
#  More information about the calibration scale can be found at:
#  http://www.esrl.noaa.gov/gmd/ccl/
#
#  The RITS GCs sampled once per hour from the early 1990s onward.
#  Monthly-averaged data are provided in parts-per-trillion (ppt).
#
#  Abbreviations:
#      yr      year
#      mon     month
#      min     minute
#      m       daily/monthly median concentration (or hourly value)
#      sd      standard deviation
#      n       number of samples
#      brw     Barrow, Alaska
#      nwr     Niwot Ridge, Colorado
#      mlo     Mauna Loa, Hawaii
#      smo     Cape Matatula, American Samoa
#      spo     South  Pole, Antarctica
#      nan     not-a-number (missing data)
#
#  year, mon, concentration in ppt, std. dev, number of samples
#
F12ritsNWRyr F12ritsNWRmon F12ritsNWRm F12ritsNWRsd F12ritsNWRn
1990   2   480.084     6.829  244
1990   3   484.834    14.844  107
1990   4   480.597     7.807  275
1990   5   483.637     7.859  301
1990   6   484.407     9.593  310
1990   7   486.829    13.370  494
1990   8   485.704    10.026  316
1990   9   489.186     7.113  367
1990  10   490.912     7.050  505
1990  11   489.900     4.794  364
1990  12   493.972    19.057  595
1991   1   491.759     8.388  665
1991   2   490.184     6.546  639
1991   3   493.177     5.853  635
1991   4   494.643     7.458  633
1991   5   495.310     9.582  551
1991   6   494.784     9.669  492
1991   7   496.075    11.003  681
1991   8   495.995     8.010  492
1991   9   499.288     6.000  274
1991  10   499.212     5.158  257
1991  11   501.822     6.019  467
1991  12   499.717     5.138  205
1992   1   501.243     3.699  174
1992   2   500.723     5.493  363
1992   3   501.673     6.016  283
1992   4   502.543     3.768  473
1992   5   504.322     7.467  668
1992   6   506.950     7.655  481
1992   7   507.133     7.780  592
1992   8   508.754     5.887  731
1992   9   510.279     5.231  129
1992  10   507.567     3.628  119
1992  11   506.624     4.478  581
1992  12   507.370     3.655  628
1993   1   507.504     3.730  619
1993   2   508.161     4.097  662
1993   3   507.438     4.234  709
1993   4   509.749     3.749  534
1993   5   510.363     4.170  708
1993   6   511.829     7.321  424
1993   7   512.900     7.192  635
1993   8   514.838     4.938  599
1993   9   515.221     5.509  639
1993  10   515.899     5.946  308
1993  11   517.128     4.303  230
1993  12   516.662     5.476  512
1994   1   516.039     6.679  599
1994   2   517.130     6.197  189
1994   3   516.188     3.301  485
1994   4   517.714     3.973  603
1994   5   517.950     5.733  351
1994   6   519.053     5.748  546
1994   7   523.223     6.639  637
1994   8   523.043     4.574  524
1994   9   521.325     4.243  584
1994  10   523.602     5.695  485
1994  11   522.031     3.473  577
1994  12   521.584     2.432  511
1995   1   521.870     4.327  680
1995   2   520.846     3.567  531
1995   3   521.439     3.208  543
1995   4   523.337     2.421   46
1995   5   525.020     4.402  354
1995   6   525.100     4.555  625
1995   7   525.717     4.649  631
1995   8   528.577     5.667  633
